,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
137,Othoz GmbH,"Othoz GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Othoz GmbH has        5 total employees across all of its locations and generates $536,981 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        3 companies in the Othoz GmbH corporate family.",,"$536,981",2,2.35
138,eemagine Medical Imaging Solutions GmbH,"eemagine Medical Imaging Solutions GmbH is located in Berlin, Berlin, Germany and is part of the Software Publishers Industry. eemagine Medical Imaging Solutions GmbH has       60 employees at this location and generates $2.34 million in sales (USD). (Sales figure is estimated). There are        7 companies in the eemagine Medical Imaging Solutions GmbH corporate family.",60,$2.34 million,2,2.35
139,Kewazo GmbH,"Kewazo GmbH is located in Garching b. München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Kewazo GmbH has       21 employees at this location and generates $2.77 million in sales (USD). (Sales figure is modelled). ",21,$2.77 million,1,2.35
140,JUST ADD AI GmbH,"JUST ADD AI GmbH is located in Bremen, Bremen, Germany and is part of the Computer Systems Design and Related Services Industry. JUST ADD AI GmbH has       30 total employees across all of its locations and generates $129,820 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        5 companies in the JUST ADD AI GmbH corporate family.",,"$129,820",2,2.35
142,Enginsight GmbH,"Enginsight GmbH is located in Jena, Thüringen, Germany and is part of the Computer Systems Design and Related Services Industry. Enginsight GmbH has        5 total employees across all of its locations and generates $324,549 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",5,"$324,549",2,2.35
143,envia Mitteldeutsche Energie AG,"envia Mitteldeutsche Energie AG is located in Chemnitz, Sachsen, Germany and is part of the Electric Power Generation, Transmission and Distribution Industry. envia Mitteldeutsche Energie AG has      651 employees at this location and generates $2.54 billion in sales (USD).  There are       62 companies in the envia Mitteldeutsche Energie AG corporate family.",651,$2.54 billion,4,2.65
147,PAN AMP AG,"PAN AMP AG is located in Hamburg, Hamburg, Germany and is part of the Data Processing, Hosting, and Related Services Industry. PAN AMP AG has       26 employees at this location and generates $890,534 in sales (USD). (Sales figure is estimated). There are        3 companies in the PAN AMP AG corporate family.",26,"$890,534",1,2.23
148,Bitburger Braugruppe GmbH,"Bitburger Braugruppe GmbH is located in Bitburg, Rheinland-Pfalz, Germany and is part of the Beverage Manufacturing Industry. Bitburger Braugruppe GmbH has    1,800 employees at this location and generates $683.21 million in sales (USD).  There are       64 companies in the Bitburger Braugruppe GmbH corporate family.","1,800",$683.21 million,1,2.79
150,Kinemic GmbH,"Kinemic GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. Kinemic GmbH has       10 employees at this location and generates $767,116 in sales (USD). (Sales figure is estimated). ",10,"$767,116",2,2.35
151,Webdata Solutions GmbH,"Webdata Solutions GmbH is located in Leipzig, Sachsen, Germany and is part of the Computer Systems Design and Related Services Industry. Webdata Solutions GmbH has       41 employees at this location and generates $4.21 million in sales (USD). (Sales figure is estimated). ",41,$4.21 million,2,2.35
152,embeteco GmbH & Co. KG,"embeteco GmbH & Co. KG is located in Rastede, Niedersachsen, Germany and is part of the Scientific Research and Development Services Industry. embeteco GmbH & Co. KG has       12 employees at this location and generates $371,756 in sales (USD). (Sales figure is estimated). ",12,"$371,756",2,2.23
153,Empolis Information Management GmbH,"Empolis Information Management GmbH is located in Kaiserslautern, Rheinland-Pfalz, Germany and is part of the Software Publishers Industry. Empolis Information Management GmbH has      166 employees at this location and generates $19.99 million in sales (USD).  There are        6 companies in the Empolis Information Management GmbH corporate family.",166,$19.99 million,1,2.35
157,Ada Health GmbH,"Ada Health GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Ada Health GmbH has      165 employees at this location and generates $1.98 million in sales (USD).  There are        3 companies in the Ada Health GmbH corporate family.",165,$1.98 million,2,2.35
158,Neohelden GmbH,"Neohelden GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. Neohelden GmbH has       18 employees at this location and generates $1.73 million in sales (USD). (Sales figure is modelled). ",18,$1.73 million,2,2.35
159,Cobrainer GmbH,"Cobrainer GmbH is located in München, Bayern, Germany and is part of the Other Information Services Industry. Cobrainer GmbH has       18 employees at this location and generates $383,558 in sales (USD). (Sales figure is estimated). ",18,"$383,558",2,2.35
160,Friedrich-Schiller-Universität Jena,"Friedrich-Schiller-Universität Jena is located in Jena, Thüringen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Friedrich-Schiller-Universität Jena has    8,679 employees at this location and generates $827.60 million in sales (USD). (Sales figure is modelled). There are       24 companies in the Friedrich-Schiller-Universität Jena corporate family.","8,679",$827.60 million,1,2.23
163,Technische Universität München,"Technische Universität München is located in München, Bayern, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Technische Universität München has   10,825 employees at this location and generates $1.82 million in sales (USD). (Sales figure is estimated). There are      140 companies in the Technische Universität München corporate family.","10,825",$1.82 million,1,2.23
165,IS Predict GmbH,"IS Predict GmbH is located in Saarbrücken, Saarland, Germany and is part of the Computer Systems Design and Related Services Industry. IS Predict GmbH has        9 employees at this location and generates $826,125 in sales (USD). (Sales figure is estimated). ",9,"$826,125",1,2.35
166,encoway GmbH,"encoway GmbH is located in Bremen, Bremen, Germany and is part of the Software Publishers Industry. encoway GmbH has      208 employees at this location and generates $20.76 million in sales (USD). (Sales figure is estimated). There are       60 companies in the encoway GmbH corporate family.",208,$20.76 million,1,2.35
167,SIKOM Software GmbH,"SIKOM Software GmbH is located in Heidelberg, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. SIKOM Software GmbH has       58 employees at this location and generates $4.60 million in sales (USD). (Sales figure is estimated). There are        3 companies in the SIKOM Software GmbH corporate family.",58,$4.60 million,1,2.35
169,Robotron Datenbank-Software GmbH,"Robotron Datenbank-Software GmbH is located in Dresden, Sachsen, Germany and is part of the Software Publishers Industry. Robotron Datenbank-Software GmbH has      515 total employees across all of its locations and generates $59.98 million in sales (USD).  There are        9 companies in the Robotron Datenbank-Software GmbH corporate family.",337,$59.98 million,1,2.35
174,EMSU GmbH,"EMSU GmbH is located in Aachen, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. EMSU GmbH has        5 total employees across all of its locations and generates $129,820 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        2 companies in the EMSU GmbH corporate family.",,"$129,820",3,2.35
175,Sematell GmbH,"Sematell GmbH is located in Saarbrücken, Saarland, Germany and is part of the Computer Systems Design and Related Services Industry. Sematell GmbH has       58 employees at this location and generates $30.27 million in sales (USD).  There are        3 companies in the Sematell GmbH corporate family.",58,$30.27 million,1,2.35
