,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
59,istari.ai UG (haftungsbeschränkt),"istari.ai UG (haftungsbeschränkt) is located in Mannheim, Baden-Württemberg, Germany and is part of the Architectural, Engineering, and Related Services Industry. istari.ai UG (haftungsbeschränkt) has        3 total employees across all of its locations and generates $316,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$316,000",3,2.23
44,ITyX Solutions Aktiengesellschaft,"ITyX Solutions Aktiengesellschaft is located in Köln, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. ITyX Solutions Aktiengesellschaft has       40 employees at this location and generates $4.47 million in sales (USD). (Sales figure is estimated). There are        6 companies in the ITyX Solutions Aktiengesellschaft corporate family.",40,$4.47 million,4,2.35
50,Johann Wolfgang Goethe-Universität Frankfurt,"Johann Wolfgang Goethe-Universität Frankfurt is located in Frankfurt am Main, Hessen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Johann Wolfgang Goethe-Universität Frankfurt has    2,363 total employees across all of its locations and generates $225.33 million in sales (USD). (Employees and Sales figures are modelled). There are       45 companies in the Johann Wolfgang Goethe-Universität Frankfurt corporate",,$225.33 million,2,2.23
122,Karlsruher Institut für Technologie,"Karlsruher Institut für Technologie is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Karlsruher Institut für Technologie has    9,300 employees at this location and generates $886.82 million in sales (USD). (Sales figure is modelled). There are    7,417 companies in the Karlsruher Institut für Technologie corporate family.","9,300",$886.82 million,2,2.23
49,ki elements UG (haftungsbeschränkt),"ki elements UG (haftungsbeschränkt) is located in Saarbrücken, Saarland, Germany and is part of the Computer Systems Design and Related Services Industry. ki elements UG (haftungsbeschränkt) has       15 employees at this location and generates $118,018 in sales (USD). (Sales figure is estimated). ",15,"$118,018",3,2.35
48,Klingel GmbH,"Klingel GmbH is located in Waiblingen, Baden-Württemberg, Germany and is part of the Other General Purpose Machinery Manufacturing Industry. Klingel GmbH has      260 employees at this location and generates $71.97 million in sales (USD). (Sales figure is estimated). There are        3 companies in the Klingel GmbH corporate family.",260,$71.97 million,2,2.48
74,KNIME GmbH,"KNIME GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry.  There are        3 companies in the KNIME GmbH corporate family.",,,,
134,KuKa Immobilien AG,"KuKa Immobilien AG is located in Winterthur, ZÜRICH, Switzerland and is part of the Services to Buildings and Dwellings Industry. KuKa Immobilien AG has        5 employees at this location and generates $625,560 in sales (USD). (Employees and Sales figures are modelled). ",5,"$625,560",,
82,Leibniz-Institut für Photonische Technologien e.V. (Engl.Leibniz Institute of Photonic Technology),"Leibniz-Institut für Photonische Technologien e.V. (Engl.Leibniz Institute of Photonic Technology) is located in Jena, Thüringen, Germany and is part of the Scientific Research and Development Services Industry. Leibniz-Institut für Photonische Technologien e.V. (Engl.Leibniz Institute of Photonic Technology) has      220 employees at this location and generates $20.36 million in sales (USD). (Sales figure is estimated). ",220,$20.36 million,1,2.23
1,Lufthansa Industry Solutions AS GmbH,"Lufthansa Industry Solutions AS GmbH is located in Norderstedt, Schleswig-Holstein, Germany and is part of the Computer Systems Design and Related Services Industry. Lufthansa Industry Solutions AS GmbH has    1,300 employees at this location and generates $57.13 million in sales (USD).  There are      746 companies in the Lufthansa Industry Solutions AS GmbH corporate family.","1,300",$57.13 million,3,2.35
39,Luminovo GmbH,"Luminovo GmbH is located in München, Bayern, Germany and is part of the Architectural, Engineering, and Related Services Industry. Luminovo GmbH has        4 total employees across all of its locations and generates $118,018 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        2 companies in the Luminovo GmbH corporate family.",,"$118,018",3,2.23
92,M.O.S.S. Computer Grafik-Systeme GmbH,"M.O.S.S. Computer Grafik-Systeme GmbH is located in Taufkirchen, Bayern, Germany and is part of the Software Publishers Industry. M.O.S.S. Computer Grafik-Systeme GmbH has       34 employees at this location and generates $7.20 million in sales (USD). (Sales figure is estimated). There are        4 companies in the M.O.S.S. Computer Grafik-Systeme GmbH corporate family.",34,$7.20 million,1,2.35
94,MakeIT Consulting GmbH & Co. KG,"MakeIT Consulting GmbH & Co. KG is located in Bensheim, Hessen, Germany and is part of the Computer Systems Design and Related Services Industry. MakeIT Consulting GmbH & Co. KG has       22 employees at this location and generates $2.25 million in sales (USD). (Sales figure is estimated). There are        2 companies in the MakeIT Consulting GmbH & Co. KG corporate family.",22,$2.25 million,2,2.35
109,MAN Truck & Bus SE,"MAN Truck & Bus SE is located in München, Bayern, Germany and is part of the Motor Vehicle Parts Manufacturing Industry. MAN Truck & Bus SE has   36,000 total employees across all of its locations and generates $12.27 billion in sales (USD).  There are    2,945 companies in the MAN Truck & Bus SE corporate family.",,$12.27 billion,2,2.72
45,Masasana GmbH,"Masasana GmbH is located in Mönchengladbach, Nordrhein-Westfalen, Germany and is part of the Professional and Commercial Equipment and Supplies Merchant Wholesalers Industry. Masasana GmbH has        3 total employees across all of its locations and generates $464,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$464,000",3,2.23
120,Max-Planck-Gesellschaft zur Förderung der Wissenschaften e.V.,"Max-Planck-Gesellschaft zur Förderung der Wissenschaften e.V. is located in Berlin, Berlin, Germany and is part of the Scientific Research and Development Services Industry.  There are      129 companies in the Max-Planck-Gesellschaft zur Förderung der Wissenschaften e.V. corporate family.",,,1,2.23
64,Maxsyma GmbH & Co. KG,"Maxsyma GmbH & Co. KG is located in Floß, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Maxsyma GmbH & Co. KG has        4 employees at this location and generates $743,513 in sales (USD). (Sales figure is estimated). ",4,"$743,513",3,2.35
40,MechLab Engineering UG (haftungsbeschränkt),"MechLab Engineering UG (haftungsbeschränkt) is located in Dresden, Sachsen, Germany and is part of the Architectural, Engineering, and Related Services Industry. MechLab Engineering UG (haftungsbeschränkt) has        1 employees at this location and generates $42,587 in sales (USD).  ",1,"$42,587",3,2.23
135,OFFIS e.V.,"OFFIS e.V. is located in Oldenburg, Niedersachsen, Germany and is part of the Scientific Research and Development Services Industry. OFFIS e.V. has      290 employees at this location and generates $35.42 million in sales (USD). (Sales figure is estimated). There are        2 companies in the OFFIS e.V. corporate family.",290,$35.42 million,2,2.23
10,OOAC Ventures adbonitas GbR,"OOAC Ventures adbonitas GbR is located in Köln, Nordrhein-Westfalen, Germany and is part of the Management of Companies and Enterprises Industry. OOAC Ventures adbonitas GbR has        2 total employees across all of its locations and generates $265,000 in sales (USD). (Employees and Sales figures are modelled). ",2,"$265,000",3,2.73
86,Orbica UG (haftungsbeschränkt),"Orbica UG (haftungsbeschränkt) is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Orbica UG (haftungsbeschränkt) has        3 employees at this location and generates $379,503 in sales (USD). (Sales figure is modelled). There are        2 companies in the Orbica UG (haftungsbeschränkt) corporate family.",3,"$379,503",2,2.35
98,Ostbayerische Technische Hochschule Regensburg,"Ostbayerische Technische Hochschule Regensburg is located in Regensburg, Bayern, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Ostbayerische Technische Hochschule Regensburg has      680 employees at this location and generates $64.84 million in sales (USD). (Sales figure is modelled). There are        4 companies in the Ostbayerische Technische Hochschule Regensburg corporate family.",680,$64.84 million,1,2.23
79,Otto (GmbH & Co KG),"Germany's answer to Amazon, Otto Group is one of the world's leading online retailers. It sells a wide range of merchandise at otto.de as well as a number of other brand websites in&nbsp;Germany and about 30 other countries in Europe, North America, and Asia. Products range from apparel to appliances to sporting goods.&nbsp;The company's Hermes unit provides internal warehousing and delivery services as well as for third-party clients. Overall, Otto",,$18.98 billion,1,2.23
41,Paradatec Gesellschaft für parallele Datentechnik mbH,"Paradatec Gesellschaft für parallele Datentechnik mbH is located in Braunschweig, Niedersachsen, Germany and is part of the Computer Systems Design and Related Services Industry. Paradatec Gesellschaft für parallele Datentechnik mbH has       31 employees at this location and generates $7.67 million in sales (USD). (Sales figure is estimated). ",31,$7.67 million,2,2.35
47,Peter S. Reichertz,"Peter S. Reichertz is located in Washington, DC, United States and is part of the Legal Services Industry. Peter S. Reichertz has        4 total employees across all of its locations and generates $130,000 in sales (USD). (Employees and Sales figures are modelled). ",4,"$130,000",,
67,PSI Software AG,"
   PSI Aktiengesellschaft für Produkte und Systeme der Informationstechnologie (doing business as PSI) develops software for the titans of industry. The company provides IT services and software to energy, utility, manufacturing, and transportation companies to manage large-scale energy grids and complex production and logistics processes. Customers include industrial heavyweights such as ArcelorMittal, Gazprom, ThyssenKrupp, and Vallourec. PSI generates","1,213",$257.57 million,1,2.35
127,Rheinisch-Westfälische Technische Hochschule (RWTH) Aachen,"Rheinisch-Westfälische Technische Hochschule (RWTH) Aachen is located in Aachen, Nordrhein-Westfalen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Rheinisch-Westfälische Technische Hochschule (RWTH) Aachen has    9,505 employees at this location and generates $906.37 million in sales (USD). (Sales figure is modelled). There are      104 companies in the Rheinisch-Westfälische Technische Hochschule (RWTH) Aachen","9,505",$906.37 million,1,2.23
119,Ruhr-Universität Bochum,"Ruhr-Universität Bochum is located in Bochum, Nordrhein-Westfalen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Ruhr-Universität Bochum has    6,158 employees at this location and generates $587.21 million in sales (USD). (Sales figure is modelled). There are       41 companies in the Ruhr-Universität Bochum corporate family.","6,158",$587.21 million,3,2.23
24,S& N Invent GmbH,"S& N Invent GmbH is located in Paderborn, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. S& N Invent GmbH has      225 employees at this location and generates $17.74 million in sales (USD). (Sales figure is estimated). There are       21 companies in the S& N Invent GmbH corporate family.",225,$17.74 million,1,2.23
6,SDaC GmbH,"SDaC GmbH is located in Weimar, Thüringen, Germany and is part of the Architectural, Engineering, and Related Services Industry. SDaC GmbH has        2 total employees across all of its locations and generates $265,540 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",2,"$265,540",4,2.23
16,signifai GmbH,"signifai GmbH is located in Köln, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. signifai GmbH has        1 employees at this location and generates $637,297 in sales (USD). (Sales figure is estimated). There are        3 companies in the signifai GmbH corporate family.",1,"$637,297",5,2.35
46,Skylab Ventures GmbH,"Skylab Ventures GmbH is located in Heidelberg, Baden-Württemberg, Germany and is part of the Management of Companies and Enterprises Industry. Skylab Ventures GmbH has        3 total employees across all of its locations and generates $421,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$421,000",3,2.73
15,Smart In Media AG,"Smart In Media AG is located in Köln, Nordrhein-Westfalen, Germany and is part of the Electronics and Appliance Stores Industry. Smart In Media AG has        3 total employees across all of its locations and generates $283,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$283,000",2,2.23
117,So1 GmbH,"So1 GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. So1 GmbH has       34 employees at this location and generates $2.97 million in sales (USD). (Sales figure is estimated). There are       56 companies in the So1 GmbH corporate family.",34,$2.97 million,5,2.35
96,Software Aktiengesellschaft,"It's no mystery what this company sells. Software AG offers Freedom as a Service. It reimagines integration, spark business transformation and enable fast innovation on the Internet of Things to differentiate business models. The company's customers use its products to link and manage a wide variety of IT assets, including business software, servers, data management, mobile devices, and PCs. Services include consulting, maintenance, and training.","3,406",$987.31 million,3,2.35
99,Software Aktiengesellschaft,"It's no mystery what this company sells. Software AG offers Freedom as a Service. It reimagines integration, spark business transformation and enable fast innovation on the Internet of Things to differentiate business models. The company's customers use its products to link and manage a wide variety of IT assets, including business software, servers, data management, mobile devices, and PCs. Services include consulting, maintenance, and training.","3,406",$987.31 million,3,2.35
9,Solactive Aktiengesellschaft,"Solactive Aktiengesellschaft is located in Frankfurt am Main, Hessen, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. Solactive Aktiengesellschaft has      215 employees at this location and generates $23.30 million in sales (USD). (Sales figure is estimated). There are        3 companies in the Solactive Aktiengesellschaft corporate family.",215,$23.30 million,2,2.23
42,SOTA SOLUTIONS LIMITED,"SOTA SOLUTIONS LIMITED is located in SITTINGBOURNE, United Kingdom and is part of the Wired and Wireless Telecommunications Carriers Industry. SOTA SOLUTIONS LIMITED has       30 employees at this location and generates $7.14 million in sales (USD). (Employees figure is estimated). ",30,$7.14 million,1,1.89
107,SSV Software Systems GmbH,"SSV Software Systems GmbH is located in Hannover, Niedersachsen, Germany and is part of the Computer and Peripheral Equipment Manufacturing Industry. SSV Software Systems GmbH has       24 employees at this location and generates $4.99 million in sales (USD). (Sales figure is estimated). ",24,$4.99 million,1,2.35
71,Stifterverband für die Deutsche Wissenschaft e.V.,"Stifterverband für die Deutsche Wissenschaft e.V. is located in Berlin, Berlin, Germany and is part of the Business, Professional, Labor, Political, and Similar Organizations Industry.  There are       13 companies in the Stifterverband für die Deutsche Wissenschaft e.V. corporate family.",,,2,2.23
93,Storemoods GmbH & Co. KG,"Storemoods GmbH & Co. KG is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Storemoods GmbH & Co. KG has        3 total employees across all of its locations and generates $411,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$411,000",2,2.35
19,STUVAtec - Studiengesellschaft für Tunnel und Verkehrsanlagen - mbH,"STUVAtec - Studiengesellschaft für Tunnel und Verkehrsanlagen - mbH is located in Köln, Nordrhein-Westfalen, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. STUVAtec - Studiengesellschaft für Tunnel und Verkehrsanlagen - mbH has        5 employees at this location and generates $610,746 in sales (USD). (Sales figure is estimated). There are        2 companies in the STUVAtec - Studiengesellschaft für",5,"$610,746",1,2.23
88,Technische Universität Darmstadt,"Technische Universität Darmstadt is located in Darmstadt, Hessen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Technische Universität Darmstadt has    4,974 employees at this location and generates $275.81 million in sales (USD). (Sales figure is estimated). There are       92 companies in the Technische Universität Darmstadt corporate family.","4,974",$275.81 million,4,2.23
126,Technische Universität Kaiserslautern,"Technische Universität Kaiserslautern is located in Kaiserslautern, Rheinland-Pfalz, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Technische Universität Kaiserslautern has    2,539 employees at this location and generates $242.11 million in sales (USD). (Sales figure is modelled). There are       14 companies in the Technische Universität Kaiserslautern corporate family.","2,539",$242.11 million,1,2.23
66,Telefónica Deutschland Holding AG,"Telefónica Deutschland Holding AG is located in München, Bayern, Germany and is part of the Management of Companies and Enterprises Industry. Telefónica Deutschland Holding AG has    7,852 total employees across all of its locations and generates $8.91 billion in sales (USD).  There are    2,395 companies in the Telefónica Deutschland Holding AG corporate family.",4,$8.91 billion,1,2.73
124,The Synergist GmbH,"The Synergist GmbH is located in Köln, Nordrhein-Westfalen, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. The Synergist GmbH has        2 total employees across all of its locations and generates $289,000 in sales (USD). (Employees and Sales figures are modelled). ",2,"$289,000",5,2.23
63,ThoughtWorks Deutschland GmbH,"ThoughtWorks Deutschland GmbH is located in Hamburg, Hamburg, Germany and is part of the Computer Systems Design and Related Services Industry. ThoughtWorks Deutschland GmbH has      264 employees at this location and generates $73.08 million in sales (USD).  There are       37 companies in the ThoughtWorks Deutschland GmbH corporate family.",264,$73.08 million,1,2.35
22,Trebing & Himstedt Prozeßautomation GmbH & Co. Kommanditgesellschaft,"Trebing & Himstedt Prozeßautomation GmbH & Co. Kommanditgesellschaft is located in Schwerin, Mecklenburg-Vorpommern, Germany and is part of the Engine, Turbine, and Power Transmission Equipment Manufacturing Industry. Trebing & Himstedt Prozeßautomation GmbH & Co. Kommanditgesellschaft has       27 employees at this location and generates $4.55 million in sales (USD). (Sales figure is estimated). There are        2 companies in the Trebing & Himstedt",27,$4.55 million,1,2.48
103,TRUMPF GmbH + Co. KG,"Founded in 1923 when Christian Trumpf and his partners acquired a machine shop, TRUMPF&amp;burgeoned into a leading maker of production machinery. The company operates through two divisions: Machine Tools (bending, punching, combined punch laser process, 2D and 3D cutting applications, or laser welding) and Laser Technology (disk laser, diode laser, fiber laser, pulsed laser, sensor systems and processing optics. It gets about 80% of its sales outside","5,561",$3.80 billion,2,2.48
105,UniTransferKlinik Lübeck GmbH,"UniTransferKlinik Lübeck GmbH is located in Lübeck, Schleswig-Holstein, Germany and is part of the Scientific Research and Development Services Industry. UniTransferKlinik Lübeck GmbH has        7 employees at this location and generates $330,450 in sales (USD). (Sales figure is estimated). ",7,"$330,450",2,2.23
37,Universität Hohenheim,"Universität Hohenheim is located in Eningen unter Achalm, Baden-Württemberg, Germany and is part of the Colleges, Universities, and Professional Schools Industry.  There are       19 companies in the Universität Hohenheim corporate family.",,,1,2.23
90,Universitätsklinikum Aachen AÖR,"Universitätsklinikum Aachen AÖR is located in Aachen, Nordrhein-Westfalen, Germany and is part of the General Medical and Surgical Hospitals Industry. Universitätsklinikum Aachen AÖR has    5,020 employees at this location and generates $334.04 million in sales (USD). (Sales figure is estimated). There are        8 companies in the Universitätsklinikum Aachen AÖR corporate family.","5,020",$334.04 million,2,1.72
104,Universitätsklinikum Essen (AöR),"Universitätsklinikum Essen (AöR) is located in Essen, Nordrhein-Westfalen, Germany and is part of the General Medical and Surgical Hospitals Industry. Universitätsklinikum Essen (AöR) has    6,740 employees at this location and generates $761.06 million in sales (USD).  There are       20 companies in the Universitätsklinikum Essen (AöR) corporate family.","6,740",$761.06 million,3,1.72
4,Videmo Intelligente Videoanalyse GmbH,"Videmo Intelligente Videoanalyse GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. Videmo Intelligente Videoanalyse GmbH has        3 total employees across all of its locations and generates $375,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$375,000",3,2.35
111,VIER Precire GmbH,"VIER Precire GmbH is located in Hannover, Niedersachsen, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. VIER Precire GmbH has       30 employees at this location and generates $2.22 million in sales (USD). (Sales figure is estimated). There are        6 companies in the VIER Precire GmbH corporate family.",30,$2.22 million,5,2.23
83,Virtualworks Group Inc.,"Virtualworks Group Inc. is located in Boca Raton, FL, United States and is part of the Computer Systems Design and Related Services Industry. Virtualworks Group Inc. has       28 total employees across all of its locations and generates $3.31 million in sales (USD). (Sales figure is modelled). ",,$3.31 million,3,2.45
91,WEIDMÜLLER Holding AG & Co. KG,"WEIDMÜLLER Holding AG & Co. KG is located in Detmold, Nordrhein-Westfalen, Germany and is part of the Management of Companies and Enterprises Industry. WEIDMÜLLER Holding AG & Co. KG has    4,889 total employees across all of its locations and generates $941.79 million in sales (USD).  There are       80 companies in the WEIDMÜLLER Holding AG & Co. KG corporate family.",,$941.79 million,2,2.73
115,ZBW - Deutsche Zentralbibliothek für Wirtschaftswissenschaften Leibniz-Informationszentrum Wirtschaft,"ZBW - Deutsche Zentralbibliothek für Wirtschaftswissenschaften Leibniz-Informationszentrum Wirtschaft is located in Kiel, Schleswig-Holstein, Germany and is part of the Other Information Services Industry. ZBW - Deutsche Zentralbibliothek für Wirtschaftswissenschaften Leibniz-Informationszentrum Wirtschaft has       10 total employees across all of its locations and generates $381,760 in sales (USD). (Employees and Sales figures are modelled). There",,"$381,760",1,2.23
76,ZeMA - Zentrum für Mechatronik und Automatisierungstechnik gemeinnützige Gesellschaft mit beschränkter Haftung,"ZeMA - Zentrum für Mechatronik und Automatisierungstechnik gemeinnützige Gesellschaft mit beschränkter Haftung is located in Saarbrücken, Saarland, Germany and is part of the Scientific Research and Development Services Industry. ZeMA - Zentrum für Mechatronik und Automatisierungstechnik gemeinnützige Gesellschaft mit beschränkter Haftung has       51 employees at this location and generates $6.46 million in sales (USD). (Sales figure is estimated).",51,$6.46 million,1,2.23
